Source_String,Target_String,weight
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 3 4's, 7 5's, 4 7's, 2 8's.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 2 7's, 1 8.",2
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 3 4's, 7 5's, 2 6's, 4 7's.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 1 6, 2 7's.",1
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 3 4's, 7 5's, 4 6's, 2 7's, 2 8's.","We have: 5 1's, 6 2's, 3 3's, 1 4, 5 5's, 3 6's, 1 8.",2
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 5 4's, 6 5's, 3 6's, 1 7, 3 8's.","We have: 4 1's, 8 2's, 2 3's, 4 4's, 3 5's, 1 6, 2 8's.",2
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 6 4's, 4 5's, 4 6's, 2 7's, 2 8's.","We have: 5 1's, 6 2's, 4 3's, 3 4's, 2 5's, 2 6's, 1 7, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 6 4's, 6 5's, 6 6's, 4 7's, 2 8's.","We have: 5 1's, 7 2's, 4 3's, 4 4's, 4 5's, 2 6's, 3 7's, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 6 4's, 7 5's, 4 6's, 5 7's, 2 8's.","We have: 5 1's, 7 2's, 4 3's, 4 4's, 4 5's, 2 6's, 3 7's, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 5 3's, 6 4's, 8 5's, 4 6's, 3 7's, 5 8's.","We have: 5 1's, 8 2's, 3 3's, 4 4's, 5 5's, 2 6's, 2 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 3 4's, 5 5's, 5 6's, 2 7's, 2 8's.","We have: 5 1's, 6 2's, 4 3's, 2 4's, 2 5's, 3 6's, 1 7, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 4 4's, 3 5's, 6 6's, 2 7's, 2 8's.","We have: 5 1's, 6 2's, 4 3's, 2 4's, 2 5's, 3 6's, 1 7, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 5 4's, 7 5's, 3 6's, 4 7's, 4 8's.","We have: 5 1's, 8 2's, 4 3's, 2 4's, 5 5's, 1 6, 2 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 5 4's, 7 5's, 4 6's, 3 7's, 4 8's.","We have: 5 1's, 8 2's, 4 3's, 2 4's, 5 5's, 2 6's, 1 7, 3 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 7 4's, 6 5's, 7 6's, 7 7's, 2 8's.","We have: 5 1's, 7 2's, 5 3's, 6 4's, 5 5's, 4 6's, 3 7's, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 7 4's, 6 5's, 8 6's, 6 7's, 2 8's.","We have: 5 1's, 7 2's, 5 3's, 6 4's, 5 5's, 4 6's, 4 7's.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 7 4's, 7 5's, 7 6's, 8 7's, 2 8's.","We have: 5 1's, 7 2's, 5 3's, 6 4's, 6 5's, 5 6's, 4 7's.",1
"We have: 2 0's, 10 1's, 11 2's, 6 3's, 8 4's, 6 5's, 6 6's, 1 7, 4 8's.","We have: 4 1's, 8 2's, 5 3's, 6 4's, 5 5's, 2 6's, 2 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 7 5's, 7 6's, 6 7's, 2 8's.","We have: 5 1's, 7 2's, 6 3's, 6 5's, 5 6's, 2 7's, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 2 4's, 7 5's, 7 6's, 6 7's.","We have: 5 1's, 7 2's, 6 3's, 1 4, 6 5's, 5 6's, 2 7's.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 5 4's, 7 5's, 3 6's, 4 7's, 3 8's.","We have: 5 1's, 8 2's, 4 3's, 3 4's, 5 5's, 2 6's, 1 7, 2 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 6 4's, 7 5's, 7 6's, 8 7's, 2 8's.","We have: 5 1's, 7 2's, 6 3's, 5 4's, 6 5's, 5 6's, 4 7's.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 7 4's, 6 5's, 6 6's, 5 7's, 2 8's.","We have: 5 1's, 7 2's, 6 3's, 6 4's, 4 5's, 3 6's, 2 7's, 1 8.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 8 4's, 6 5's, 7 6's, 5 7's, 6 8's.","We have: 5 1's, 8 2's, 6 3's, 7 4's, 4 5's, 4 6's, 2 7's, 4 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 7 3's, 8 4's, 7 5's, 3 6's, 4 7's, 4 8's.","We have: 5 1's, 8 2's, 5 3's, 5 4's, 6 5's, 2 6's, 1 7, 2 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 8 3's, 3 4's, 7 5's, 3 6's, 3 7's, 5 8's.","We have: 5 1's, 8 2's, 4 3's, 2 4's, 5 5's, 2 6's, 1 7, 3 8's.",1
"We have: 2 0's, 10 1's, 11 2's, 8 3's, 7 4's, 3 5's, 8 6's, 6 7's, 7 8's.","We have: 5 1's, 8 2's, 6 3's, 6 4's, 2 5's, 6 6's, 3 7's, 4 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 11 3's, 5 4's, 6 5's, 6 6's, 3 7's, 3 8's.","We have: 4 1's, 8 2's, 7 3's, 4 4's, 4 5's, 3 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 11 3's, 5 4's, 6 5's, 6 6's, 3 7's, 5 8's.","We have: 4 1's, 8 2's, 8 3's, 4 4's, 3 5's, 3 6's, 2 7's, 4 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 11 3's, 5 4's, 7 5's, 3 6's, 3 7's, 3 8's.","We have: 4 1's, 8 2's, 6 3's, 4 4's, 5 5's, 2 6's, 1 7, 2 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 12 3's, 11 4's, 4 5's, 6 6's, 4 7's.","We have: 3 1's, 7 2's, 11 3's, 7 4's, 3 5's, 4 6's, 3 7's.",1
"We have: 2 0's, 10 1's, 12 2's, 4 3's, 3 4's, 7 5's, 1 6, 5 7's, 2 8's.","We have: 5 1's, 7 2's, 2 3's, 1 4, 5 5's, 3 7's, 1 8.",3
"We have: 2 0's, 10 1's, 12 2's, 4 3's, 3 4's, 7 5's, 2 6's, 5 7's, 1 8.","We have: 5 1's, 7 2's, 2 3's, 1 4, 5 5's, 1 6, 3 7's.",5
"We have: 2 0's, 10 1's, 12 2's, 5 3's, 1 4, 7 5's, 3 6's, 3 7's, 3 8's.","We have: 5 1's, 8 2's, 1 3, 5 5's, 2 6's, 1 7, 2 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 5 3's, 3 4's, 7 5's, 1 6, 3 7's, 3 8's.","We have: 5 1's, 8 2's, 1 3, 2 4's, 5 5's, 1 7, 2 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 5 3's, 3 4's, 7 5's, 1 6, 4 7's, 2 8's.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 2 7's, 1 8.",2
"We have: 2 0's, 10 1's, 12 2's, 5 3's, 3 4's, 7 5's, 2 6's, 4 7's, 1 8.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 1 6, 2 7's.",2
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 8 5's, 7 6's, 7 7's, 5 8's.","We have: 6 1's, 8 2's, 6 3's, 6 5's, 6 6's, 3 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 8 5's, 8 6's, 5 7's, 6 8's.","We have: 6 1's, 8 2's, 6 3's, 6 5's, 6 6's, 3 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 1 4, 7 5's, 7 6's, 6 7's, 2 8's.","We have: 5 1's, 7 2's, 6 3's, 6 5's, 5 6's, 2 7's, 1 8.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 2 4's, 7 5's, 7 6's, 5 7's, 2 8's.","We have: 6 1's, 6 2's, 6 3's, 1 4, 5 5's, 6 6's, 1 7, 1 8.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 2 4's, 7 5's, 7 6's, 6 7's, 1 8.","We have: 5 1's, 7 2's, 6 3's, 1 4, 6 5's, 5 6's, 2 7's.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 6 4's, 7 5's, 8 6's, 5 7's, 5 8's.","We have: 6 1's, 8 2's, 6 3's, 5 4's, 4 5's, 6 6's, 2 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 7 3's, 6 4's, 8 5's, 8 6's, 8 7's, 7 8's.","We have: 6 1's, 8 2's, 6 3's, 5 4's, 7 5's, 6 6's, 5 7's, 3 8's.",1
"We have: 2 0's, 10 1's, 12 2's, 8 3's, 2 4's, 7 5's, 7 6's, 5 7's, 3 8's.","We have: 6 1's, 7 2's, 6 3's, 1 4, 5 5's, 6 6's, 2 7's, 1 8.",1
"We have: 2 0's, 10 1's, 13 2's, 4 3's, 11 4's, 8 6's, 1 7, 6 8's.","We have: 3 1's, 11 2's, 2 3's, 8 4's, 6 6's, 4 8's.",1
"We have: 2 0's, 10 1's, 13 2's, 4 3's, 11 4's, 1 5, 8 6's, 6 8's.","We have: 3 1's, 11 2's, 2 3's, 8 4's, 6 6's, 4 8's.",1
"We have: 2 0's, 10 1's, 13 2's, 7 3's, 6 4's, 4 5's, 4 6's, 4 7's, 3 8's.","We have: 6 1's, 11 2's, 4 3's, 2 4's, 3 5's, 2 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 13 2's, 8 3's, 5 4's, 6 5's, 7 6's, 4 7's, 4 8's.","We have: 6 1's, 11 2's, 6 3's, 2 4's, 4 5's, 5 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 14 2's, 11 4's, 1 5, 8 6's, 1 7, 6 8's.","We have: 2 1's, 12 2's, 8 4's, 6 6's, 4 8's.",1
"We have: 2 0's, 10 1's, 14 2's, 1 3, 11 4's, 8 6's, 1 7, 6 8's.","We have: 2 1's, 12 2's, 8 4's, 6 6's, 4 8's.",1
"We have: 2 0's, 10 1's, 14 2's, 1 3, 11 4's, 1 5, 8 6's, 6 8's.","We have: 2 1's, 12 2's, 8 4's, 6 6's, 4 8's.",1
"We have: 2 0's, 10 1's, 14 2's, 13 3's, 6 4's, 3 5's, 6 6's, 4 7's, 3 8's.","We have: 5 1's, 12 2's, 8 3's, 3 4's, 2 5's, 3 6's, 3 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 14 2's, 5 3's, 11 4's, 4 5's, 3 6's, 4 7's.","We have: 4 1's, 12 2's, 3 3's, 6 4's, 2 5's, 2 6's, 3 7's.",1
"We have: 2 0's, 10 1's, 14 2's, 6 3's, 11 4's, 4 5's, 4 6's, 4 8's.","We have: 4 1's, 12 2's, 5 3's, 5 4's, 3 5's, 2 6's, 3 8's.",1
"We have: 2 0's, 10 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 1 7, 1 8.","We have: 3 1's, 1 2, 3 3's, 1 6.",7
"We have: 2 0's, 10 1's, 4 2's, 8 3's, 5 4's, 2 5's, 4 6's, 4 7's, 3 8's.","We have: 7 1's, 1 2, 6 3's, 1 4, 3 6's, 3 7's, 1 8.",2
"We have: 2 0's, 10 1's, 4 2's, 8 3's, 5 4's, 3 5's, 4 6's, 4 7's, 2 8's.","We have: 7 1's, 1 2, 6 3's, 1 4, 1 5, 3 6's, 3 7's.",2
"We have: 2 0's, 10 1's, 4 2's, 8 3's, 6 4's, 6 5's, 7 6's, 7 7's, 2 8's.","We have: 7 1's, 1 2, 7 3's, 4 4's, 5 5's, 4 6's, 4 7's.",1
"We have: 2 0's, 10 1's, 5 2's, 13 3's, 7 5's, 7 6's, 3 7's, 3 8's.","We have: 6 1's, 3 2's, 8 3's, 5 5's, 6 6's, 2 8's.",1
"We have: 2 0's, 10 1's, 5 2's, 13 3's, 3 4's, 3 5's, 4 6's, 3 7's, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 7's, 2 8's.",2
"We have: 2 0's, 10 1's, 5 2's, 13 3's, 4 4's, 7 5's, 7 6's, 3 7's, 3 8's.","We have: 6 1's, 3 2's, 8 3's, 2 4's, 5 5's, 6 6's, 2 8's.",1
"We have: 2 0's, 10 1's, 5 2's, 7 3's, 2 4's, 5 5's, 4 6's, 5 7's, 2 8's.","We have: 7 1's, 1 2, 6 3's, 1 5, 3 6's, 3 7's, 1 8.",1
"We have: 2 0's, 10 1's, 5 2's, 7 3's, 4 4's, 5 5's, 4 6's, 5 7's, 2 8's.","We have: 7 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 3 7's, 1 8.",2
"We have: 2 0's, 10 1's, 5 2's, 7 3's, 5 4's, 4 5's, 4 6's, 4 7's, 1 8.","We have: 6 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 7's.",2
"We have: 2 0's, 10 1's, 5 2's, 8 3's, 4 4's, 5 5's, 4 6's, 1 7, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's, 1 8.",2
"We have: 2 0's, 10 1's, 5 2's, 8 3's, 5 4's, 4 5's, 4 6's, 1 7, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 2 4's, 1 5, 3 6's, 1 8.",2
"We have: 2 0's, 10 1's, 5 2's, 8 3's, 5 4's, 4 5's, 6 6's, 1 7, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 3 4's, 1 5, 4 6's, 1 8.",2
"We have: 2 0's, 10 1's, 6 2's, 11 3's, 3 4's, 5 5's, 3 6's, 3 7's, 3 8's.","We have: 5 1's, 4 2's, 5 3's, 2 4's, 3 5's, 1 6, 2 7's, 2 8's.",3
"We have: 2 0's, 10 1's, 6 2's, 7 3's, 2 4's, 2 5's, 6 6's, 5 7's, 2 8's.","We have: 7 1's, 1 2, 6 3's, 1 4, 3 6's, 3 7's, 1 8.",3
"We have: 2 0's, 10 1's, 6 2's, 7 3's, 2 4's, 5 5's, 5 6's, 5 7's, 2 8's.","We have: 7 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 3 7's, 1 8.",1
"We have: 2 0's, 10 1's, 6 2's, 7 3's, 4 4's, 1 5, 6 6's, 4 7's, 2 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 3 6's, 2 7's, 1 8.",2
"We have: 2 0's, 10 1's, 6 2's, 7 3's, 4 4's, 2 5's, 6 6's, 4 7's, 1 8.","We have: 6 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 7's.",3
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 1 4, 5 5's, 5 6's, 2 7's, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 2 5's, 3 6's, 1 7, 1 8.",1
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 2 4's, 5 5's, 5 6's, 1 7, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's, 1 8.",2
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 3 4's, 1 5, 6 6's, 2 7's, 4 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 3 6's, 1 7, 2 8's.",2
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 3 4's, 2 5's, 6 6's, 1 7, 4 8's.","We have: 6 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 8's.",2
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 4 4's, 1 5, 6 6's, 2 7's, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 2 4's, 3 6's, 1 7, 1 8.",2
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 4 4's, 2 5's, 6 6's, 1 7, 3 8's.","We have: 6 1's, 3 2's, 6 3's, 2 4's, 1 5, 3 6's, 1 8.",7
"We have: 2 0's, 10 1's, 6 2's, 8 3's, 8 4's, 6 5's, 7 6's, 7 7's, 4 8's.","We have: 7 1's, 4 2's, 7 3's, 6 4's, 5 5's, 4 6's, 4 7's, 1 8.",1
"We have: 2 0's, 10 1's, 7 2's, 7 3's, 2 4's, 2 5's, 6 6's, 6 7's, 2 8's.","We have: 7 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 3 7's, 1 8.",2
"We have: 2 0's, 10 1's, 7 2's, 7 3's, 4 4's, 2 5's, 4 6's, 6 7's, 2 8's.","We have: 7 1's, 3 2's, 6 3's, 1 4, 1 5, 2 6's, 3 7's, 1 8.",2
"We have: 2 0's, 10 1's, 7 2's, 7 3's, 7 4's, 8 5's, 5 6's, 8 7's, 4 8's.","We have: 7 1's, 5 2's, 6 3's, 5 4's, 6 5's, 4 6's, 4 7's, 1 8.",1
"We have: 2 0's, 10 1's, 7 2's, 8 3's, 5 4's, 7 5's, 6 6's, 8 7's, 5 8's.","We have: 7 1's, 5 2's, 7 3's, 4 4's, 4 5's, 4 6's, 5 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 7 2's, 8 3's, 5 4's, 8 5's, 6 6's, 7 7's, 5 8's.","We have: 7 1's, 5 2's, 7 3's, 4 4's, 5 5's, 4 6's, 4 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 7 2's, 8 3's, 6 4's, 7 5's, 6 6's, 8 7's, 4 8's.","We have: 7 1's, 5 2's, 7 3's, 4 4's, 6 5's, 3 6's, 5 7's, 1 8.",1
"We have: 2 0's, 10 1's, 7 2's, 8 3's, 6 4's, 7 5's, 7 6's, 8 7's, 5 8's.","We have: 7 1's, 5 2's, 7 3's, 5 4's, 5 5's, 5 6's, 4 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 7 2's, 8 3's, 6 4's, 8 5's, 8 6's, 6 7's, 5 8's.","We have: 7 1's, 5 2's, 7 3's, 5 4's, 6 5's, 5 6's, 4 7's, 1 8.",1
"We have: 2 0's, 10 1's, 8 2's, 11 3's, 3 4's, 3 5's, 3 6's, 3 7's, 3 8's.","We have: 5 1's, 6 2's, 4 3's, 2 4's, 2 5's, 2 6's, 2 7's, 1 8.",2
"We have: 2 0's, 10 1's, 8 2's, 11 3's, 3 4's, 5 5's, 3 6's, 3 7's, 3 8's.","We have: 5 1's, 6 2's, 5 3's, 2 4's, 3 5's, 2 6's, 2 7's, 1 8.",4
"We have: 2 0's, 10 1's, 8 2's, 13 3's, 3 4's, 6 5's, 8 6's, 3 7's, 3 8's.","We have: 6 1's, 6 2's, 7 3's, 2 4's, 5 5's, 6 6's, 2 7's.",1
"We have: 2 0's, 10 1's, 8 2's, 6 3's, 7 4's, 7 5's, 7 6's, 8 7's, 5 8's.","We have: 7 1's, 6 2's, 5 3's, 6 4's, 5 5's, 5 6's, 4 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 8 2's, 7 3's, 6 4's, 7 5's, 8 6's, 7 7's, 5 8's.","We have: 7 1's, 6 2's, 6 3's, 5 4's, 5 5's, 6 6's, 3 7's, 2 8's.",1
"We have: 2 0's, 10 1's, 8 2's, 8 3's, 2 4's, 7 5's, 7 6's, 8 7's, 6 8's.","We have: 7 1's, 5 2's, 7 3's, 1 4, 6 5's, 5 6's, 5 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 11 3's, 7 5's, 1 6, 5 7's, 3 8's.","We have: 3 1's, 7 2's, 8 3's, 5 5's, 3 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 11 3's, 1 4, 7 5's, 5 7's, 3 8's.","We have: 3 1's, 7 2's, 8 3's, 5 5's, 3 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 13 3's, 11 4's, 4 5's, 6 6's, 4 7's.","We have: 3 1's, 7 2's, 11 3's, 7 4's, 3 5's, 4 6's, 3 7's.",1
"We have: 2 0's, 11 1's, 10 2's, 4 3's, 4 4's, 6 5's, 6 6's, 1 7, 2 8's.","We have: 5 1's, 6 2's, 3 3's, 1 4, 5 5's, 3 6's, 1 8.",3
"We have: 2 0's, 11 1's, 10 2's, 4 3's, 4 4's, 6 5's, 6 6's, 2 7's, 1 8.","We have: 5 1's, 6 2's, 3 3's, 1 4, 5 5's, 3 6's, 1 7.",3
"We have: 2 0's, 11 1's, 10 2's, 6 3's, 3 4's, 6 5's, 4 6's, 3 7's, 1 8.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 1 6, 2 7's.",1
"We have: 2 0's, 11 1's, 10 2's, 6 3's, 7 4's, 8 5's, 7 6's, 5 7's, 4 8's.","We have: 6 1's, 7 2's, 5 3's, 5 4's, 6 5's, 5 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 6 3's, 7 4's, 8 5's, 8 6's, 6 7's, 4 8's.","We have: 6 1's, 7 2's, 5 3's, 5 4's, 7 5's, 5 6's, 4 7's, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 6 3's, 8 4's, 6 5's, 8 6's, 5 7's, 4 8's.","We have: 6 1's, 7 2's, 5 3's, 6 4's, 4 5's, 5 6's, 4 7's, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 7 3's, 6 4's, 7 5's, 7 6's, 7 7's, 3 8's.","We have: 6 1's, 7 2's, 5 3's, 5 4's, 6 5's, 5 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 7 3's, 6 4's, 7 5's, 8 6's, 5 7's, 4 8's.","We have: 6 1's, 7 2's, 6 3's, 4 4's, 5 5's, 6 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 7 3's, 6 4's, 8 5's, 7 6's, 7 7's, 4 8's.","We have: 6 1's, 7 2's, 6 3's, 4 4's, 7 5's, 5 6's, 3 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 7 3's, 8 4's, 4 5's, 8 6's, 6 7's, 4 8's.","We have: 6 1's, 7 2's, 6 3's, 5 4's, 3 5's, 6 6's, 4 7's, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 7 3's, 8 4's, 7 5's, 8 6's, 8 7's, 7 8's.","We have: 6 1's, 7 2's, 6 3's, 7 4's, 6 5's, 7 6's, 4 7's, 3 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 2 4's, 7 5's, 7 6's, 5 7's, 4 8's.","We have: 6 1's, 6 2's, 7 3's, 5 5's, 6 6's, 2 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 3 4's, 6 5's, 8 6's, 2 7's, 4 8's.","We have: 6 1's, 6 2's, 6 3's, 1 4, 5 5's, 6 6's, 1 7, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 4 4's, 6 5's, 8 6's, 3 7's, 4 8's.","We have: 6 1's, 7 2's, 6 3's, 1 4, 5 5's, 6 6's, 2 7's, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 4 4's, 7 5's, 7 6's, 5 7's, 2 8's.","We have: 6 1's, 6 2's, 7 3's, 2 4's, 5 5's, 6 6's, 2 7's.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 5 4's, 7 5's, 7 6's, 8 7's, 4 8's.","We have: 6 1's, 7 2's, 7 3's, 3 4's, 5 5's, 6 6's, 5 7's, 1 8.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 5 4's, 8 5's, 8 6's, 4 7's, 6 8's.","We have: 6 1's, 7 2's, 7 3's, 3 4's, 6 5's, 6 6's, 3 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 7 4's, 5 5's, 8 6's, 7 7's, 6 8's.","We have: 6 1's, 7 2's, 7 3's, 6 4's, 3 5's, 6 6's, 4 7's, 3 8's.",1
"We have: 2 0's, 11 1's, 10 2's, 8 3's, 8 4's, 4 5's, 8 6's, 6 7's, 7 8's.","We have: 6 1's, 7 2's, 7 3's, 6 4's, 3 5's, 6 6's, 4 7's, 3 8's.",1
"We have: 2 0's, 11 1's, 11 2's, 10 3's, 5 4's, 6 5's, 4 6's, 1 7, 4 8's.","We have: 3 1's, 8 2's, 8 3's, 2 4's, 4 5's, 2 6's, 3 8's.",1
"We have: 2 0's, 11 1's, 11 2's, 10 3's, 5 4's, 7 5's, 2 6's, 5 7's, 3 8's.","We have: 4 1's, 7 2's, 7 3's, 4 4's, 4 5's, 1 6, 3 7's, 2 8's.",1
"We have: 2 0's, 11 1's, 11 2's, 10 3's, 5 4's, 7 5's, 3 6's, 5 7's, 2 8's.","We have: 4 1's, 7 2's, 7 3's, 4 4's, 4 5's, 2 6's, 3 7's, 1 8.",1
"We have: 2 0's, 11 1's, 11 2's, 10 3's, 8 4's, 5 5's, 3 6's, 4 7's, 2 8's.","We have: 4 1's, 7 2's, 7 3's, 6 4's, 3 5's, 2 6's, 3 7's.",1
"We have: 2 0's, 11 1's, 11 2's, 12 3's, 10 4's, 5 5's, 6 6's, 4 7's.","We have: 3 1's, 7 2's, 11 3's, 7 4's, 3 5's, 4 6's, 3 7's.",1
"We have: 2 0's, 11 1's, 11 2's, 2 3's, 4 4's, 3 5's, 1 6, 2 7's, 2 8's.","We have: 1 0, 4 1's, 5 2's, 2 4's, 2 5's, 1 7, 1 8.",1
"We have: 2 0's, 11 1's, 11 2's, 2 3's, 4 4's, 3 5's, 2 6's, 1 7, 2 8's.","We have: 1 0, 4 1's, 5 2's, 2 4's, 2 5's, 1 6, 1 8.",2
"We have: 2 0's, 11 1's, 11 2's, 2 3's, 4 4's, 3 5's, 2 6's, 2 7's, 1 8.","We have: 1 0, 4 1's, 5 2's, 2 4's, 2 5's, 1 6, 1 7.",2
"We have: 2 0's, 11 1's, 11 2's, 3 3's, 4 4's, 6 5's, 4 6's, 3 8's.","We have: 1 0, 5 1's, 8 2's, 1 4, 5 5's, 2 6's, 2 8's.",3
"We have: 2 0's, 11 1's, 11 2's, 4 3's, 2 4's, 6 5's, 6 6's, 2 8's.","We have: 1 0, 5 1's, 6 2's, 3 3's, 5 5's, 3 6's, 1 8.",1
"We have: 2 0's, 11 1's, 11 2's, 4 3's, 2 4's, 6 5's, 6 6's, 2 7's.","We have: 1 0, 5 1's, 6 2's, 3 3's, 5 5's, 3 6's, 1 7.",1
"We have: 2 0's, 11 1's, 11 2's, 4 3's, 3 4's, 6 5's, 4 6's, 3 8's.","We have: 1 0, 5 1's, 8 2's, 1 3, 5 5's, 2 6's, 2 8's.",1
"We have: 2 0's, 11 1's, 11 2's, 4 3's, 5 4's, 6 5's, 3 6's, 4 8's.","We have: 1 0, 5 1's, 8 2's, 2 3's, 2 4's, 4 5's, 1 6, 3 8's.",2
"We have: 2 0's, 11 1's, 11 2's, 5 3's, 7 5's, 3 7's, 3 8's.","We have: 1 0, 5 1's, 8 2's, 2 3's, 5 5's, 1 7, 2 8's.",2
"We have: 2 0's, 11 1's, 11 2's, 5 3's, 3 4's, 7 5's, 5 7's, 2 8's.","We have: 1 0, 5 1's, 7 2's, 3 3's, 2 4's, 4 5's, 3 7's, 1 8.",1
"We have: 2 0's, 11 1's, 11 2's, 5 3's, 3 4's, 7 5's, 2 6's, 5 7's.","We have: 1 0, 5 1's, 7 2's, 3 3's, 2 4's, 4 5's, 1 6, 3 7's.",1
"We have: 2 0's, 11 1's, 11 2's, 5 3's, 5 4's, 6 5's, 2 6's, 3 7's, 1 8.","We have: 1 0, 4 1's, 7 2's, 3 3's, 4 4's, 3 5's, 2 7's.",1
